ID,Nombre,Edad,Género,Ubicación,Grado_escolar,Horas_de_uso_diario,Horas_de_sueño,Rendimiento_académico,Interacciones_sociales,Horas_de_ejercicio,Nivel_de_ansiedad,Nivel_de_depresión,Autoestima,Control_parental,Tiempo_antes_de_acostarse,Chequeos_del_celular_por_día,Aplicaciones_usadas_a_diario,Tiempo_en_redes_sociales,Tiempo_en_el_juego,Tiempo_en_Educación,Propósito_del_uso_del_teléfono,Comunicación_familiar,Horas_de_uso_en_finde,Nivel_de_adicción
35,Amy Carroll,16,Varon,South Williamfort,12,4.7,6.6,59,6,1.5,10,4,7,1,0.6,123,18,1,1.1,1.2,Redes sociales,2,0.3,9.6
36,Monica Roberts,15,Varon,West Kristinaview,8,3.9,6.3,64,9,1.3,6,7,8,1,0.9,135,11,1.2,1.5,1.5,Redes sociales,7,2.2,8.4
37,Laura Steele,13,Mujer,Burketown,8,4.4,6.8,62,8,1.4,2,1,10,0,1.7,66,7,0.9,0,0,busquedas,1,6.9,4.6
38,Lauren Matthews,13,Varon,Christineton,9,8.3,6.2,65,9,1.3,5,6,8,1,1.3,144,5,2.3,0,1.5,Otro,1,2.9,10
39,Marcus Stephens,16,Otro,Schmitthaven,9,7.4,6.9,67,0,1.7,6,6,8,0,1.6,117,16,1.6,0.7,0.7,Redes sociales,8,4.6,10
40,Cameron Hansen,16,Mujer,North Christina,12,1.7,6.8,68,9,0.8,5,9,1,1,0.7,107,18,2.4,0.6,0,Educación,6,6.2,7
41,Richard Choi,13,Otro,Jasonmouth,8,6.2,8.3,77,1,0.4,7,2,4,0,1.1,141,5,3.8,1.4,0.9,busquedas,8,6.2,10
42,Nicholas Gomez,19,Otro,Roberttown,12,5.2,7.2,96,5,0.1,4,10,3,0,0.7,119,16,3,1.7,0.6,Juego,3,6.1,10
43,Jessica Smith,15,Otro,Andreville,11,3.3,5.3,89,7,0,9,6,9,0,0.3,77,18,1.1,1,0,Juego,9,10.4,7.9
44,Brittany Myers,13,Varon,Nguyenfort,11,6.9,6.2,89,4,1.1,3,2,7,1,0.3,140,13,3,1.9,0.7,Juego,9,4.1,10
45,Alicia White,13,Varon,Millerton,9,6.6,5,88,8,2.1,10,7,10,0,2,56,20,2.1,1.4,0.4,Educación,9,6.2,10
46,Brandi King,18,Mujer,Evanschester,8,1,6.2,60,5,1.4,6,3,10,0,0.4,25,16,3.1,0,2,Juego,4,5.8,4.7
47,Kenneth Travis,17,Varon,Castilloside,8,6.7,4.7,67,3,1.3,10,1,3,0,0.8,129,6,2.8,0.8,1.7,Juego,7,9.9,10
48,James Sanchez,19,Otro,Adamsside,11,7.1,7.1,67,2,0.4,1,1,4,0,2.6,119,16,2.8,2.4,0,Juego,4,5.3,10
49,Tyrone Cabrera,18,Varon,New Ericview,7,4.7,6.5,69,6,1.5,10,3,1,0,1.3,119,5,3.4,1,0,Juego,10,4.7,9.2
50,Curtis Castro,14,Varon,East Amber,11,8.1,7.2,91,6,1.4,8,7,8,1,0.3,120,13,1.4,2.2,1.9,Educación,9,6,10
51,Steven Chavez,14,Varon,Yuport,9,4.3,5.9,75,4,2.5,5,1,8,1,2.2,105,17,1.9,1.4,1.4,Otro,1,3.1,10
52,Cody Young,17,Varon,Savagetown,11,3.9,8.4,97,3,0.5,1,7,8,0,1.2,66,13,4.3,1.6,1,Educación,6,4.9,9.5
53,Victoria Clark,13,Otro,Collinston,9,9,7.3,79,6,1.1,1,1,7,1,0.8,127,17,3.1,1.5,0,Educación,1,6.9,10
54,Peggy Bond,15,Otro,East Laurieview,8,4.5,7.8,93,5,1,7,7,2,1,1.3,83,17,2.6,1.2,2.4,Educación,8,6,9.5
55,Candace Anderson,14,Otro,Kimberlyburgh,11,4.4,4.1,56,9,1.7,7,7,1,1,0.8,129,16,4.9,1.4,0.6,Otro,10,6.1,10
56,Tammy Payne,19,Otro,South Thomas,12,5.9,8.5,87,2,0,4,10,9,0,1.5,48,6,3,1.5,0.7,Redes sociales,2,6.5,8.3
57,Mrs. Lauren Ayala,17,Otro,Port Dustin,10,3.3,6.1,78,2,3.6,2,9,9,1,1.2,141,17,1.9,1,0.2,Educación,8,5.1,9.4
58,Edward Jackson,15,Mujer,Davidberg,12,2.9,5.5,71,1,1.1,9,2,1,1,0.9,117,10,2,1.6,1.3,Juego,7,4.6,8.1
59,Kathleen Hoffman,17,Varon,Walkerburgh,11,3.4,4.7,79,10,0.9,8,4,5,0,0.6,123,6,3,1.7,0.7,Otro,5,7.6,9.4
60,Kelly Carrillo,17,Mujer,West Tracey,7,6.3,7.4,77,8,1.6,4,4,10,0,1.4,110,8,3.7,1.5,1.9,Juego,1,3.1,10
61,Derek York,19,Varon,Shafferville,10,3.7,7.9,89,9,0.7,8,7,7,0,0.3,92,7,0.9,2.1,0.9,Educación,7,2,6
62,Ashley Velasquez,18,Varon,Johnsonstad,7,4.7,6.9,77,7,0.9,6,10,1,0,1,105,12,0.7,1.3,0,Educación,8,8.3,7.8
63,Sara Williams,17,Otro,Traceymouth,8,6.7,7.9,54,8,1.3,7,10,7,0,0.2,84,9,2.2,1.3,1.4,Educación,9,7.9,9.7
64,Linda Fletcher,18,Mujer,Lake Samanthabury,12,5.3,7.7,63,1,2.2,10,6,4,1,0.7,135,6,1.7,2.4,1.6,Otro,9,5.7,9.4
65,Jaclyn Salazar,17,Varon,Alejandraburgh,12,8.7,5.2,87,5,0,4,8,2,1,1.2,146,10,4,0.6,0.4,Juego,6,5.9,10
66,Stephanie Fletcher,17,Otro,Port Jonathanside,9,3.9,8,80,3,1.5,4,5,10,0,0.3,41,11,2.6,0,1.1,Redes sociales,2,5.7,5.5
67,Zachary Parks,16,Mujer,Bradyton,10,7.4,6.6,100,3,1.1,2,3,5,1,1.3,90,19,2.1,0.8,0.6,Otro,9,9.3,10
68,Chelsey Dillon,18,Mujer,Franciston,11,6.8,10,98,7,1.7,7,8,3,1,1.7,72,16,2.4,1,2,Redes sociales,10,7.6,9.8
69,Elijah Lewis,18,Mujer,Candacemouth,8,7,8,70,5,1.9,8,5,7,1,0.7,133,9,1.6,0.6,0.4,Juego,5,1.8,9.7
70,Joseph Franklin,16,Varon,West Lisaview,8,5.8,7.2,88,5,1,9,9,2,0,0.7,30,15,2.6,0.7,0.5,busquedas,10,9.7,9.1
71,Christine Hansen,17,Otro,Jamesbury,12,4.1,5.5,67,2,0.2,1,7,4,1,0.5,120,16,4.3,2.1,2,busquedas,8,11,10
72,Kristen Holmes,19,Otro,Hickschester,12,4.9,4.4,86,5,1.8,7,6,7,1,0.9,90,15,2.5,1.2,0.5,Otro,2,4.2,10
73,Michelle Ellis,18,Varon,West Erikashire,12,4.4,6.6,95,3,1.1,8,1,3,1,0.6,91,15,2.2,1.6,0.8,Educación,1,3.9,9.7
74,Dr. David Howard,19,Varon,South Taylortown,8,6.3,3,58,8,1.1,5,2,8,0,0.6,48,6,3.9,1.1,0.1,Otro,6,8.5,10
75,Michael Tucker,15,Varon,New Gregstad,9,5.8,6.9,84,8,2.3,3,9,3,1,0.5,106,7,3.1,1.2,1.5,Redes sociales,6,5.5,10
76,Brenda Lee,13,Mujer,Morganshire,8,6.5,7.2,58,10,0.3,9,6,5,0,1.1,74,6,2.6,2,1.1,Juego,9,8.7,10
77,Jennifer Levine,17,Mujer,West Michael,9,5.8,7,76,8,1.7,5,5,5,1,1.7,116,19,3,2.2,2.2,Educación,9,3.3,10
78,Joshua Moore,19,Otro,Gonzalezland,7,5.1,7,64,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,Juego,2,7.7,7.6
79,Marcus Gibson,13,Otro,East Thomas,8,5.2,6,87,0,0.8,1,5,8,1,1.6,79,11,4.2,0,1.2,Juego,6,3.7,10
80,Mackenzie Wright,13,Varon,Antoniohaven,11,4.8,8.6,78,8,0,3,3,10,1,1,51,9,3,2.4,1.6,Redes sociales,7,7.1,8.7
81,Christopher Smith,19,Varon,Lake Susanport,11,4.3,4.3,91,6,0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,Redes sociales,8,5.2,8.3
82,Andrew Kim,19,Mujer,North Cristina,7,7.6,6.4,88,4,0,6,4,8,0,1.8,77,15,4.6,0,0,Juego,7,7.1,10
83,Rebecca Reynolds,17,Mujer,Lake Adrianberg,7,5.5,6.9,65,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,busquedas,4,6.2,7.6
84,Catherine Bradshaw,15,Otro,Sarahfurt,10,4.8,6.3,76,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,Redes sociales,8,5.3,10
85,Tammy Carter,19,Otro,Marktown,9,7.4,6.3,75,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,0,Redes sociales,1,7.6,10
86,Maria Ochoa,16,Varon,South Tonyton,12,3.8,5.1,85,1,0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,Redes sociales,9,9.3,7.6
87,James Herrera,13,Otro,Lake Nancy,10,7.3,5.6,84,1,0.2,4,1,8,0,1.2,22,11,2.2,2,0.9,Otro,1,4.1,10
88,Brian Coleman,19,Mujer,Kevinport,8,0.7,4.6,64,6,1.3,10,1,9,0,0.4,146,10,2.2,0.2,1.3,Otro,3,5.3,5.7
89,Gregory Martinez,14,Varon,South Adamside,11,3,6.6,82,0,0.8,1,3,3,0,0.6,84,6,3.7,2.3,1,Otro,9,6.7,8.6
90,Richard Nichols,19,Otro,East Andrewport,12,4,7.4,83,3,0.3,10,4,4,0,0.6,55,18,4.1,0.8,0,Juego,3,7.4,9.9
91,Steven Tanner,16,Otro,Craigstad,12,8.1,6.8,59,1,0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,Otro,1,5.1,10
92,Michael Farmer,17,Varon,Guerrafort,12,5.2,6.6,56,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1,Otro,5,8.1,10
93,Keith Ward,18,Otro,Parsonsfurt,7,1.7,6.2,52,8,1.3,2,2,7,0,1.3,76,17,1.1,1.9,0.7,Redes sociales,7,6.5,6.5
94,Aaron Parker,15,Varon,Port Maryborough,8,6.8,7.4,100,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,Redes sociales,5,6.8,10
95,Wesley Miller,18,Mujer,Sherryton,9,6.4,10,89,0,1.2,9,9,8,0,0.5,128,9,4.1,3.2,1.4,Educación,2,4.6,10
96,Tiffany Santiago,17,Varon,Wilsonton,9,7.2,7.4,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,Redes sociales,4,2.3,10
97,Lindsey Sloan,18,Mujer,Lake Adamfort,10,3.3,5.7,93,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,Otro,10,6.6,10
98,Kristin Martin,16,Varon,East Patrickburgh,8,4.7,8.5,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,Redes sociales,8,6.2,8.2
99,Valerie Blevins,18,Mujer,East Lynn,9,2.8,7,93,5,0.8,4,5,2,0,1.5,42,6,2.8,1,0.6,Redes sociales,10,8.2,5.1
100,Morgan Mills,16,Mujer,East Derrick,8,6.2,8.7,53,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1,Otro,7,6.7,8.8
101,Christian Perkins,17,Varon,East Wendymouth,9,6.7,8.5,91,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,busquedas,8,5.7,10
102,John Evans,14,Otro,Port Pamelatown,8,2.2,5.1,69,7,1,6,3,8,1,1.3,24,16,2.6,2.2,1.1,Otro,9,7.6,8.1
103,Ashley Chang,13,Mujer,Harrisbury,11,4.1,6.3,57,3,2,5,3,7,0,0.4,78,13,1.7,2.2,0.3,Juego,3,5.8,9
104,Julia Ross,13,Varon,Taraland,11,5.3,5.9,85,9,0.6,6,1,2,1,0.9,98,14,2.3,2.6,0.9,Educación,8,8.9,10
105,Ashley Foster,18,Mujer,South Shelleyfort,8,4.7,3.4,71,1,1.8,7,4,7,1,1.5,87,9,0.1,0,0,Educación,7,6.7,6.6
106,Katherine Hensley,19,Otro,East Angelaland,10,4.5,7.4,67,9,1.1,10,1,2,1,0.8,68,11,2.6,1,0.9,Juego,4,7.4,8
107,Christopher Watts,13,Varon,South Josephstad,7,5.6,5.8,85,4,0.6,1,2,8,1,1.4,44,7,2.1,0,1.5,Juego,7,6.6,7.1
108,Benjamin Bradley,15,Otro,Rhondafurt,7,7.3,5,67,2,0.5,8,5,5,0,1.4,77,18,1.2,1.1,0.8,Juego,4,8,10
109,Rebecca Edwards,18,Mujer,Jaredmouth,11,4.6,9.4,55,2,0.8,2,4,5,1,1.1,113,7,1.6,1.7,1.6,Educación,4,8.6,6.9
110,Sarah Harrison,15,Otro,North Cherylburgh,9,2,5.9,74,5,0.9,2,9,6,0,1.1,47,12,2,1.3,1.4,Otro,1,4.4,5.7
111,Kimberly Hooper,14,Varon,Bentleytown,9,1.6,6.1,70,7,0,9,5,1,0,1.6,42,5,4.8,0.8,1.5,Redes sociales,3,1.8,6
112,Melissa Becker DDS,18,Otro,East Pamelaside,9,2,7.5,76,0,1.1,1,7,2,1,0.9,115,7,1.4,1.9,1.3,Juego,10,5.6,5.2
113,John Griffin,16,Varon,Loveberg,10,3,4.7,51,10,3,1,8,1,1,0.3,42,18,1.7,3.3,0,Educación,3,6.7,10
114,James Alvarez,15,Mujer,Port Veronicamouth,9,6.9,3.9,73,9,2.2,1,6,4,0,0.8,58,16,3.3,2.8,1.8,Educación,3,4.9,10
115,Brad Sanchez,16,Otro,Port Samanthaberg,8,5.5,5.4,63,8,0,5,10,3,1,2,72,14,1.4,0,0.8,Otro,1,8.3,8.4
116,Cory Santiago,15,Mujer,Robertshire,11,6.6,9.5,53,5,1,8,4,1,0,0.8,121,13,4.5,1.7,2.8,Juego,6,6.4,10
117,Shelley Curtis,19,Otro,South Brittanychester,12,8.3,5.7,58,9,1.6,3,1,3,0,0.1,21,9,1.7,0.8,1.2,Otro,10,6.5,10
118,Cheryl Thomas,18,Otro,East Chadhaven,8,3.6,3.1,56,0,2.4,5,9,4,1,0.9,80,16,3.2,0.3,1.5,Redes sociales,7,7.3,10
119,Meagan Banks,17,Varon,Glennshire,9,5.4,3.1,88,0,0,7,10,10,0,0.7,29,11,2.9,0.3,0.5,Redes sociales,3,1.7,9.8
120,Dr. Elizabeth Porter,19,Otro,Mirandaborough,9,2.1,7.3,71,7,0.5,4,1,4,1,1.7,54,9,2.5,1.5,1.6,Educación,5,2.1,5.3
121,Monica Shelton,16,Varon,Brownchester,7,7.8,7.4,81,0,1.9,5,6,10,0,1.1,135,14,3.6,1.1,1.3,busquedas,6,4.5,10
122,Heather Wilson,14,Varon,Chelseafurt,9,4.3,3.9,64,2,2.9,10,10,6,1,0.6,119,9,1.1,1.4,1.8,Otro,4,6.7,9
123,Angie White,18,Otro,West Maryport,12,7.4,7.4,80,0,1.1,1,2,3,0,1.9,57,20,1.9,0.9,1.6,Juego,10,4.6,10
124,Grace Mullen,18,Mujer,West Donna,7,6.4,7.9,72,4,2,5,6,4,1,0.7,23,13,0.7,2.4,0.7,Otro,3,7.4,8.6
125,Megan Colon,13,Otro,West Jeremy,9,2,8.4,78,10,1.6,5,1,10,0,0.4,140,17,2,0.8,2.4,Juego,1,5.1,6.8
126,Christine Cunningham,15,Varon,Lake Laurastad,8,2.6,6.8,65,0,1.3,6,5,2,1,1,26,6,1.8,2.8,1.1,Otro,6,9.5,5.5
127,Sonya Armstrong,13,Otro,North Brian,7,4.4,5,68,7,3.7,2,4,8,0,1.8,70,18,2.4,1.1,0.7,busquedas,2,5.1,10
128,Heather Johnson,16,Otro,Masonbury,8,4.8,6.5,57,7,0.7,9,10,8,0,0.8,68,16,0.5,3.7,0,Educación,3,7.9,10
129,Jennifer Chen,15,Otro,Port Anthony,10,7.7,5.9,75,2,2.2,2,8,10,0,1,74,16,2.4,2.9,0.9,busquedas,2,4.2,10
130,Charles Williams,17,Otro,Lisaport,12,4.2,5.6,88,10,0.5,9,6,2,0,1.1,58,19,3.3,0.4,0.2,Juego,5,7.1,10
131,Denise Peters,17,Otro,Jonathonfort,12,4.6,5.7,98,4,0.6,8,5,1,0,1.1,46,18,2.2,2.5,1.7,busquedas,3,7.4,10
132,Pamela Torres,19,Varon,Swansonhaven,9,2.9,6.5,94,5,0,8,7,5,0,1.3,126,15,3.3,1.1,0,Juego,4,3.4,9.6
133,Sandra Hanson,14,Mujer,East Calebburgh,10,6.8,5.5,55,1,0.6,9,10,10,0,1.1,129,10,3.2,2.6,0.7,busquedas,8,4.9,10
134,Donna Shaffer,18,Varon,Hugheschester,9,4.7,5.9,61,10,0.1,10,4,2,0,2,95,12,3.3,2.4,0.6,Redes sociales,3,5.1,10
135,Erin Garcia,19,Mujer,Nicholsburgh,10,4.1,7.6,85,6,0.1,3,3,3,0,0.8,25,20,3,0.2,1.5,Otro,3,7.7,8
136,Amy Smith,14,Mujer,Port Jordanmouth,8,0,6,75,0,0.8,5,7,4,0,1.2,111,7,3,1.6,0,Educación,1,3.6,5.2
137,Megan Knight,15,Mujer,Kimberlychester,7,4.3,9.3,61,2,0,7,8,4,1,0.3,31,5,2.6,2.6,0.8,Otro,5,6.4,6.5
138,Valerie Henderson,13,Varon,Melissashire,9,3.3,8,60,7,0.4,6,6,2,0,1.6,70,20,3,1.5,0.8,Educación,9,4.9,9.2
139,Austin Nelson,14,Mujer,Wagnermouth,7,8,5.8,79,7,1.1,1,1,4,1,0.7,130,17,1.8,2.4,1.4,busquedas,4,4.5,10
140,Michael Evans,17,Otro,Marioville,9,5,5.1,90,3,1,6,8,9,1,0.7,68,18,2.6,2.4,1.3,busquedas,9,8.3,10
141,Diane Day,18,Otro,Lake Rachel,11,2.5,4.8,51,10,1.3,6,10,1,1,0.5,83,6,2,0,3,Juego,5,4.5,5
142,Brian Mcdonald,14,Mujer,Meghanfurt,12,4.8,4,81,0,1.6,9,5,4,1,1.4,124,18,2.8,2.2,1.4,busquedas,6,4.7,10
143,Eric Hunter,18,Otro,New Julie,11,5,5.5,71,6,0.4,7,3,10,1,1,92,14,1.5,0.6,1.5,busquedas,7,9,9
144,Victoria Huff,16,Mujer,Donnaside,11,7.1,3,56,6,0,1,4,1,1,1.4,116,18,2.2,2.3,2.1,Otro,5,4.1,10
145,Ana Le,18,Mujer,Cameronbury,7,7.9,6.5,55,4,0,8,9,5,1,2,97,11,1.8,0.8,0.3,Juego,9,2.4,10
146,Daniel Robinson,14,Varon,Parksfurt,12,7.4,6.4,81,9,0.4,4,10,4,1,1.4,116,6,1.2,0,1,Redes sociales,5,3.9,8.9
147,Justin Collins,15,Mujer,New Kellystad,11,2.5,5.4,66,0,0.6,9,8,4,0,0.6,85,14,1.9,1.2,1.7,Redes sociales,9,5,7.4
148,Paula Jones,19,Varon,Blackburnhaven,9,6.4,7.8,62,3,0,6,3,7,1,0.6,41,11,2.6,3.6,2.2,Otro,5,9.4,10
149,Kathryn Matthews,16,Otro,Lake Luis,10,7,7.9,89,1,0.7,3,10,8,0,1,56,11,2.4,0.8,0,Otro,9,3.2,9.6
150,Michelle Jones,13,Mujer,Matthewland,9,5.1,4.3,63,9,1.3,4,8,6,0,0,49,6,3,0.8,2.2,busquedas,1,7.9,8.9
151,Erica Brown,14,Varon,Nancyfort,9,6.9,7.1,98,8,0.2,8,4,8,0,1.2,54,7,1.3,0.8,0.3,Juego,10,6.9,7.9
152,Michelle Perez,13,Mujer,West Alanfort,10,4,6.2,59,7,0.2,10,10,1,0,0.7,114,13,2.7,2.5,0.8,Redes sociales,5,6.9,10
153,Steven Davis,16,Varon,Sanchezport,8,6.6,9.4,82,3,1.1,7,4,7,0,0.3,83,20,0.7,1.8,0.5,Juego,5,3.5,10
154,Lynn Smith,18,Varon,North Saraburgh,10,5.7,6.2,77,3,1.6,4,1,8,0,2,115,12,2.3,1,1.9,Educación,3,6.2,10
155,Maria Fuller DDS,13,Otro,South Jamesborough,8,2.9,5.8,67,9,0,7,3,1,0,1.1,86,13,2.6,1.7,0.9,Educación,8,7,8.6
156,Sheila Bennett,17,Mujer,Boothside,9,4.8,4.1,63,9,1.2,9,7,7,0,0.3,91,20,1.9,1.6,1.4,Juego,4,8,10
157,Elizabeth Harding,16,Mujer,Wilsonside,8,7.3,6.3,77,6,0.5,3,5,6,0,0.7,138,6,2.8,1.7,2.4,busquedas,4,8.6,10
158,Bradley Jones,13,Mujer,West Kathleen,8,4.9,5.6,98,8,0.4,4,2,3,1,0.5,121,10,4.1,0.7,1.3,Otro,1,6.3,10
159,Juan Carpenter,19,Varon,Flowersshire,12,6.7,5.9,79,7,0,2,9,7,1,0.2,130,17,2.2,2.1,0.2,busquedas,5,3.1,10
160,Michael Garcia,19,Otro,Prestonfort,12,2.2,8.2,60,5,2,10,7,3,1,0.5,70,10,3.4,1.1,2.3,Juego,2,9.7,6
161,Michael Parker,13,Varon,New Christianfort,8,3.3,7.6,55,0,0,4,2,6,0,1.2,47,15,2.8,0,0.6,busquedas,1,7.2,6.2
162,Alan Torres,14,Otro,Port Melvinshire,9,6.8,4.8,76,6,2.2,2,8,5,1,0.9,142,12,4,0,1.6,Otro,5,7.9,10
163,Mary Roman,18,Otro,Richardbury,11,5.2,6.6,93,4,0,8,10,4,1,1.1,36,18,2.5,1.9,1.6,Educación,10,7.5,10
164,Joshua Moore,19,Varon,Jamieville,11,6,3.1,78,1,1,4,4,2,0,0.6,130,6,2.7,1.8,1.6,busquedas,3,10,10
165,Douglas Mason,15,Otro,New Darlene,12,5.9,5,74,1,1,9,8,3,1,0.8,94,6,4.6,2.7,1.2,Juego,2,4,10
166,Donna Morgan,19,Mujer,Kellyton,10,3.7,4.6,72,0,0.6,4,10,7,1,1.2,146,18,2,2.2,1.8,Juego,10,4.6,10
